,Vendargues,Montpellier est,Montpellier sud,Montpellier ouest,St-Jean-de-Vedas,Peage de Montpellier St-Jean,Sete,Agde Pezenas,Peage de Beziers-Cabrials,Beziers ouest,Narbonne est ,Narbonne sud,Sigean ,Leucate,Perpignan nord,Perpignan sud,Le Boulou  (peage sys ferme),Peage du Perthus,Le Boulou (peage sys ouvert),Frontiere Espagnole,Lezignan,Carcassone est,Carcassone ouest,Bram,Castelnoudary,Villefranche-de-Lauragais,Nailloux,Mazeres-Saverdun,Peage de pamiers,Pamiers nord,Pamiers sud,Montgiscard,Peage de Toulouse sud/ouest,Le palays,Peage de Toulouse sud/est,Montaudran,Lasbordes,Soupetrad,La Roseraie,La Croix Daurade,Borderouge,Les lzards,Sesquieres
Vendargues,0.0,7.132605039757625,10.92927288360972,13.023760730002047,16.120950303869957,16.428157476241303,31.48816249338061,55.81879319652302,66.50140998497386,73.33610798576547,93.87573664538768,97.43961522918963,108.82727341434395,114.79684943372439,131.54444798229756,143.33194527341678,157.58608340930627,157.2817037769885,157.58608340930627,160.89615591722765,114.54882670712382,136.91572262217846,145.67350006293026,159.9068815170369,170.16941371310182,187.5873753299078,193.46258149033133,195.47276794686542,199.90816561065574,199.97137653232426,199.7331275439218,195.26773098396734,201.0735382839328,201.6000925914639,201.0735382839328,201.28008570505048,201.25746535586543,201.90221366814362,202.2805517317681,203.04049692673985,204.15518945033034,205.38303085823821,206.8469265611283
Montpellier est,7.132605039757625,0.0,3.8751712402491356,5.946141978747665,9.182253592154671,9.488752022071727,24.51158206799317,48.95692509255592,59.71955858669946,66.52074732428146,86.97324565219525,90.54894788243404,101.79147357453338,107.68946843064968,124.41322230621817,136.20237508735732,150.47394352175243,150.16928212961565,150.47394352175243,153.81520376537492,107.89626035247456,130.58832282203045,139.4297152303209,153.89977638425137,164.38099742440988,182.19440291651085,188.06358499528054,189.68829577269415,193.95399409231027,194.0030879094772,193.73342623958098,190.08504855278605,196.1492103093096,196.7113096711603,196.1492103093096,196.4334558396702,196.47369991508316,197.1585152542036,197.59795045727725,198.40966581318355,199.53072271835114,200.7608964057057,202.22554505439206
Montpellier sud,10.92927288360972,3.8751712402491356,0.0,2.095085453107558,5.319490430896615,5.624626705418588,20.636761279106093,45.08608440259109,55.85853060744143,62.65414098464419,83.09850519456984,86.67466276906953,97.9290782772153,103.86782796324792,120.64336983829097,132.48265788795956,146.81042397326254,146.5050933273039,146.81042397326254,150.21376562884603,104.0552364550003,126.82941678394589,135.6952077517952,150.2409423406168,160.79802985879147,178.75867187080433,184.62449672290435,186.10337904741192,190.30880029933763,190.3530556578228,190.07274508526203,186.7319182639243,192.9013591609491,193.47824232788702,192.9013591609491,193.2181888553006,193.2850382421944,193.98675916676112,194.4522324725467,195.28603114714295,196.40958062033542,197.64048674302532,199.10513880070624
Montpellier ouest,13.023760730002047,5.946141978747665,2.095085453107558,0.0,3.3690982878942166,3.663147630277942,18.576753962303087,43.05272560959555,53.846230803990835,60.63016756251165,81.0478298558257,84.62685269112305,95.84591758252881,101.77312615154077,118.55083838554113,130.39817824833938,144.73853790101336,144.43304291309116,144.73853790101336,148.15871070434304,102.07114004838857,124.93497051587796,133.82345815615238,148.43530417612484,159.05413550208314,177.12687479525948,182.98984077824545,184.35663567467475,188.5128361576561,188.55305575059907,188.2638165716235,185.16011545349608,191.40406430100307,191.99126301997495,191.40406430100307,191.74365006433277,191.828967682073,192.54231782180355,193.02566598288345,193.87451487517384,194.9996787928939,196.23099014040955,197.69553345386268
St-Jean-de-Vedas,16.120950303869957,9.182253592154671,5.319490430896615,3.3690982878942166,0.0,0.30758838952298817,15.368621255797335,39.776031127695326,50.53987464101154,57.338564728248116,77.80199674659058,81.37485106586128,92.70868587593534,98.75831149945292,115.64680564210248,127.58602369345175,142.01926137433924,141.71272991446736,142.01926137433924,145.53675521453417,98.73828086834412,121.56741204484878,130.45440594025231,145.0725885593574,155.7083476528312,173.8310997437609,179.69240289305665,181.00961059143225,185.15194388535977,185.19129357280943,184.9002873584121,181.89894569451346,188.1920049632976,188.7864827084677,188.1920049632976,188.5478259340593,188.64670474930384,189.3687351482812,189.865693643362,190.72620535536356,191.852586394981,193.08416217942795,194.54855693356973
Peage de Montpellier St-Jean,16.428157476241303,9.488752022071727,5.624626705418588,3.663147630277942,0.30758838952298817,0.0,15.061186984321061,39.46912820540359,50.23420191697271,57.03222356480173,77.49458511456794,81.0675239222312,92.40182790789785,98.45463238467273,115.34720477302268,127.2904032656598,141.72806433290165,141.42148228369078,141.72806433290165,145.25061495603097,98.4347144294018,121.2718551184899,130.16110404000202,144.78621547578618,155.42879827873352,173.5645318769791,179.42545291611603,180.72962212696547,184.86648816527943,184.90539970695878,184.61343039704974,181.63957051111004,187.9417736440906,188.5375341105285,187.9417736440906,188.30043783469125,188.40163808509146,189.12512886627945,189.62434584957526,190.48676128309694,191.61333568854334,192.84494987877554,194.3093153220169
Sete,31.48816249338061,24.511582067993174,20.636761279106093,18.576753962303087,15.368621255797335,15.061186984321061,0.0,24.526932831983622,35.39489990871186,42.123638200195906,62.47402382888343,66.05595493366016,77.35299851378083,83.53849136889488,100.61955139643464,112.75157134337572,127.39911882242653,127.0902224992692,127.39911882242653,131.17050706491764,83.70684659834589,107.04264872930197,116.06131964156569,131.0840312128783,142.11026723970824,160.9579764566157,166.79063188271226,167.36175607899017,171.1846244618163,171.1984604595073,170.85151482937653,169.4218298577165,176.21747584332314,176.88240763910272,176.21747584332314,176.73069447466725,176.9580807634382,177.75985377078578,178.38083961572937,179.34503358728733,180.48035171173987,181.7121880669576,183.17279680811131
Agde Pezenas,55.81879319652302,48.95692509255592,45.08608440259109,43.05272560959555,39.77603112769533,39.4691282054036,24.526932831983622,0.0,10.949707300300716,17.597830216711124,38.069390675986156,41.6238608473434,53.565808712527065,60.650297153832994,78.43929457738864,91.17159320532255,106.3941070656375,106.08033587282847,106.3941070656375,110.89099727372287,59.26261110390509,83.12589287001639,92.291965564172,107.82306521889599,119.36946138489542,139.21249952317507,144.97559169540548,144.46420322992586,147.84495969764018,147.82528684438046,147.4061675128691,148.2358015354505,155.7671697685288,156.53730519072124,155.7671697685288,156.52114202725588,156.94695832810893,157.8682093808792,158.67910485508608,159.79957418919437,160.94180394410617,162.16646762051414,163.61232715227678
Peage de Beziers-Cabrials,66.50140998497386,59.71955858669946,55.85853060744143,53.846230803990835,50.53987464101154,50.234201916972715,35.39489990871186,10.949707300300716,0.0,6.896335144799814,27.691536348432624,31.16160436335299,43.9299185444765,51.850464611060445,70.04125026376143,83.11856870626252,98.63597144083649,98.321002365425,98.63597144083649,103.59404048412078,48.32924901279514,72.24849118934988,81.4520438425502,97.14073973170404,108.86789730256713,129.07796544648485,134.80388927101146,133.87896859230412,137.10783737026406,137.07756583535942,136.63619267284236,138.31630111195167,146.1422381935917,146.9554352979953,146.1422381935917,146.9970008255572,147.50675619816204,148.47723223853194,149.36803251968584,150.55336063357555,151.69588663070385,152.9146152942222,154.3508346185897
Beziers ouest,73.33610798576547,66.52074732428146,62.654140984644194,60.63016756251165,57.338564728248116,57.03222356480173,42.123638200195906,17.597830216711124,6.896335144799814,0.0,20.802430085072807,24.265363183945613,37.20980064607566,45.44679194803934,63.75313705756763,76.95133384171412,92.56974062024182,92.25482150594463,92.56974062024182,97.73263357385039,41.75052860018193,66.16138078307415,75.45085123647723,91.4363523222205,103.43581706160661,124.10669749626695,129.78002986861182,128.29552199520575,131.27074013705715,131.22108610306094,130.73807137091597,133.58650444586982,141.72621074740505,142.58394067511904,141.72621074740505,142.68600749864245,143.28200864031896,144.30153503357175,145.27201619863806,146.52059659899416,147.66180555820137,148.8729342335758,150.29759747180054
